"GUID","householdsTotal","noHeating","yearBuilt","mobHome","oneParent","onePerson","noCar","noInternet","priWater"
"4c07d11e-2e32-851d-e053-ca3ca8c0ca7f",90,1,2,0,8,27,21,11,1
"4c07d11e-0a3a-851d-e053-ca3ca8c0ca7f",78,0,3,0,3,24,2,18,0
"4c07d11e-1d49-851d-e053-ca3ca8c0ca7f",113,0,0,0,25,11,14,11,1
"4c07d11e-1db3-851d-e053-ca3ca8c0ca7f",76,1,0,0,15,7,10,7,1
"4c07d11e-2e01-851d-e053-ca3ca8c0ca7f",68,0,0,0,12,12,11,11,1
"4c07d11e-1d04-851d-e053-ca3ca8c0ca7f",62,1,3,0,2,19,17,5,0
"4c07d11e-1d38-851d-e053-ca3ca8c0ca7f",114,2,26,0,15,52,48,33,1
"4c07d11e-2e1f-851d-e053-ca3ca8c0ca7f",52,0,1,0,0,26,19,12,0
"4c07d11e-3a26-851d-e053-ca3ca8c0ca7f",71,1,5,0,8,29,22,11,0
"4c07d11e-2e1e-851d-e053-ca3ca8c0ca7f",73,1,5,0,2,43,21,17,1
"4c07d11e-2e10-851d-e053-ca3ca8c0ca7f",74,2,24,0,6,38,24,18,1
"4c07d11e-1dca-851d-e053-ca3ca8c0ca7f",112,0,6,0,19,35,15,12,1
"4c07d11e-1d03-851d-e053-ca3ca8c0ca7f",63,2,12,0,4,28,16,13,2
"4c07d11e-0a39-851d-e053-ca3ca8c0ca7f",76,1,4,0,6,23,9,7,0
"4c07d11e-2e20-851d-e053-ca3ca8c0ca7f",76,2,28,0,4,41,39,19,0
"4c07d11e-1d2c-851d-e053-ca3ca8c0ca7f",116,2,10,0,11,41,54,19,0
"4c07d11e-0a42-851d-e053-ca3ca8c0ca7f",111,2,27,0,19,42,38,25,0
"4c07d11e-2e3f-851d-e053-ca3ca8c0ca7f",63,1,20,0,10,35,31,22,0
"4c07d11e-1d47-851d-e053-ca3ca8c0ca7f",74,2,12,0,8,21,27,15,1
"4c07d11e-2e2f-851d-e053-ca3ca8c0ca7f",63,2,38,0,10,24,27,23,0
"4c07d11e-2e30-851d-e053-ca3ca8c0ca7f",73,1,12,0,7,22,12,14,0
"4c07d11e-2e2d-851d-e053-ca3ca8c0ca7f",103,4,2,0,26,19,35,32,0
"4c07d11e-2e2e-851d-e053-ca3ca8c0ca7f",81,3,0,0,11,33,32,26,0
"4c07d11e-2e03-851d-e053-ca3ca8c0ca7f",100,1,24,0,10,39,45,29,1
"4c07d11e-1d05-851d-e053-ca3ca8c0ca7f",105,0,5,0,12,38,33,28,0
"4c07d11e-1d06-851d-e053-ca3ca8c0ca7f",42,0,5,0,0,26,23,3,0
"4c07d11e-2e40-851d-e053-ca3ca8c0ca7f",102,2,16,0,15,35,39,37,0
"4c07d11e-0a43-851d-e053-ca3ca8c0ca7f",117,0,28,0,18,33,36,41,0
"4c07d11e-1d59-851d-e053-ca3ca8c0ca7f",83,3,38,1,13,35,41,39,0
"4c07d11d-f70d-851d-e053-ca3ca8c0ca7f",117,2,21,4,19,23,9,40,62
"4c07d11d-f70c-851d-e053-ca3ca8c0ca7f",79,2,25,3,5,17,2,23,44
"4c07d11e-1492-851d-e053-ca3ca8c0ca7f",90,1,8,0,4,11,1,4,40
"4c07d11e-147b-851d-e053-ca3ca8c0ca7f",66,1,5,0,12,10,0,18,29
"4c07d11e-122f-851d-e053-ca3ca8c0ca7f",88,1,16,0,7,13,2,18,39
"4c07d11e-1495-851d-e053-ca3ca8c0ca7f",100,2,14,0,11,18,7,29,25
"4c07d11e-1238-851d-e053-ca3ca8c0ca7f",70,0,20,0,1,11,3,15,64
"4c07d11e-1496-851d-e053-ca3ca8c0ca7f",94,1,19,0,10,23,1,21,10
"4c07d11d-f759-851d-e053-ca3ca8c0ca7f",78,3,30,0,4,21,7,32,64
"4c07d11d-f75a-851d-e053-ca3ca8c0ca7f",107,1,27,1,6,20,6,34,96
"4c07d11e-10db-851d-e053-ca3ca8c0ca7f",76,1,36,2,8,16,4,29,70
"4c07d11e-11cb-851d-e053-ca3ca8c0ca7f",95,1,30,2,12,17,4,18,89
"4c07d11e-11ce-851d-e053-ca3ca8c0ca7f",92,2,22,1,9,21,2,27,76
"4c07d11d-f704-851d-e053-ca3ca8c0ca7f",77,2,19,0,7,9,2,20,73
"4c07d11e-122d-851d-e053-ca3ca8c0ca7f",89,2,13,0,7,14,5,10,19
"4c07d11e-122e-851d-e053-ca3ca8c0ca7f",110,0,22,2,8,23,2,25,76
"4c07d11e-1494-851d-e053-ca3ca8c0ca7f",110,1,10,2,14,32,12,26,1
"4c07d11e-11d1-851d-e053-ca3ca8c0ca7f",69,2,33,0,11,17,5,25,9
"4c07d11e-11d6-851d-e053-ca3ca8c0ca7f",112,0,42,0,10,23,4,25,65
"4c07d11e-09fa-851d-e053-ca3ca8c0ca7f",85,0,1,0,12,8,1,19,1
"4c07d11e-11cf-851d-e053-ca3ca8c0ca7f",105,1,29,0,13,21,8,31,90
"4c07d11e-11d0-851d-e053-ca3ca8c0ca7f",97,1,28,0,7,20,2,22,44
"4c07d11d-f65f-851d-e053-ca3ca8c0ca7f",130,1,46,3,12,31,9,34,81
"4c07d11e-1240-851d-e053-ca3ca8c0ca7f",88,1,24,1,12,22,5,23,52
"4c07d11e-14ce-851d-e053-ca3ca8c0ca7f",95,1,10,0,13,23,3,14,12
"4c07d11e-12ac-851d-e053-ca3ca8c0ca7f",72,1,14,1,5,9,1,15,64
"4c07d11d-fc74-851d-e053-ca3ca8c0ca7f",93,0,28,1,9,15,4,23,86
"4c07d11e-09dd-851d-e053-ca3ca8c0ca7f",131,1,20,0,30,33,27,52,6
"4c07d11e-14ed-851d-e053-ca3ca8c0ca7f",102,2,17,1,23,24,28,34,1
"4c07d11e-12ab-851d-e053-ca3ca8c0ca7f",100,1,29,0,9,27,5,31,92
"4c07d11e-123f-851d-e053-ca3ca8c0ca7f",98,2,21,0,9,21,0,22,39
"4c07d11e-123e-851d-e053-ca3ca8c0ca7f",101,3,25,0,13,16,2,20,45
"4c07d11e-14b0-851d-e053-ca3ca8c0ca7f",133,1,9,0,21,29,17,31,13
"4c07d11d-f70e-851d-e053-ca3ca8c0ca7f",87,2,18,0,5,16,5,16,78
"4c07d11e-123c-851d-e053-ca3ca8c0ca7f",121,2,24,1,6,29,4,27,118
"4c07d11e-1236-851d-e053-ca3ca8c0ca7f",76,1,18,0,6,10,1,13,12
"4c07d11e-1235-851d-e053-ca3ca8c0ca7f",74,2,20,0,4,11,4,20,21
"4c07d11e-10dd-851d-e053-ca3ca8c0ca7f",67,2,21,1,5,13,4,11,66
"4c07d11e-10dc-851d-e053-ca3ca8c0ca7f",75,1,28,1,7,13,3,17,72
"4c07d11d-f711-851d-e053-ca3ca8c0ca7f",115,2,19,1,9,15,2,19,31
"4c07d11e-12a7-851d-e053-ca3ca8c0ca7f",120,4,39,0,4,32,4,27,103
"4c07d11e-10da-851d-e053-ca3ca8c0ca7f",113,2,44,1,4,32,7,33,109
"4c07d11d-f700-851d-e053-ca3ca8c0ca7f",100,2,22,0,10,13,2,21,91
