"GUID","householdsTotal","noHeating","yearBuilt","mobHome","oneParent","onePerson","noCar","noInternet","priWater"
"4c07d11d-f6c0-851d-e053-ca3ca8c0ca7f",51,1,14,0,3,12,5,16,31
"4c07d11e-09c1-851d-e053-ca3ca8c0ca7f",40,3,11,1,4,11,2,9,6
"4c07d11e-09bf-851d-e053-ca3ca8c0ca7f",53,3,11,6,2,22,1,15,4
"4c07d11d-fb63-851d-e053-ca3ca8c0ca7f",44,2,13,0,5,14,3,12,11
"4c07d11d-fb6a-851d-e053-ca3ca8c0ca7f",116,5,5,0,24,37,20,22,17
"4c07d11d-f62d-851d-e053-ca3ca8c0ca7f",82,4,15,0,3,17,4,23,27
"4c07d11d-fb69-851d-e053-ca3ca8c0ca7f",73,6,8,1,4,22,6,16,14
"4c07d11e-09c6-851d-e053-ca3ca8c0ca7f",55,1,7,0,6,10,3,7,6
"4c07d11d-fb64-851d-e053-ca3ca8c0ca7f",78,1,16,0,5,21,5,13,18
"4c07d11d-f78f-851d-e053-ca3ca8c0ca7f",105,1,13,1,7,21,6,14,42
"4c07d11d-f900-851d-e053-ca3ca8c0ca7f",79,0,15,1,14,24,4,25,23
"4c07d11d-f8ff-851d-e053-ca3ca8c0ca7f",69,2,18,0,10,14,9,23,39
"4c07d11d-f479-851d-e053-ca3ca8c0ca7f",69,1,11,1,9,21,2,12,36
"4c07d11d-fdc2-851d-e053-ca3ca8c0ca7f",29,0,2,0,4,9,1,5,22
"4c07d11d-fce3-851d-e053-ca3ca8c0ca7f",102,2,19,0,12,35,5,39,29
"4c07d11d-fcda-851d-e053-ca3ca8c0ca7f",65,0,17,1,5,15,6,15,8
"4c07d11d-fce8-851d-e053-ca3ca8c0ca7f",76,0,13,0,11,16,10,26,9
"4c07d11d-ff2a-851d-e053-ca3ca8c0ca7f",116,1,17,0,12,20,7,32,26
"4c07d11e-06ac-851d-e053-ca3ca8c0ca7f",91,3,17,0,8,22,4,24,0
"4c07d11d-fe29-851d-e053-ca3ca8c0ca7f",56,0,13,1,5,16,3,13,4
"4c07d11d-f7d9-851d-e053-ca3ca8c0ca7f",51,2,9,0,4,13,3,17,21
"4c07d11d-fdc1-851d-e053-ca3ca8c0ca7f",59,2,10,3,2,18,3,12,39
"4c07d11e-1ee0-851d-e053-ca3ca8c0ca7f",53,1,0,0,7,9,3,5,0
"4c07d11e-1edf-851d-e053-ca3ca8c0ca7f",71,0,0,0,2,36,20,24,0
"4c07d11e-0396-851d-e053-ca3ca8c0ca7f",81,0,1,0,8,16,5,9,1
"4c07d11d-fe1d-851d-e053-ca3ca8c0ca7f",93,3,40,0,8,34,17,23,0
"4c07d11e-1ede-851d-e053-ca3ca8c0ca7f",57,2,31,0,2,32,22,29,0
"4c07d11d-fe1c-851d-e053-ca3ca8c0ca7f",75,1,8,1,5,26,5,16,13
"4c07d11e-0657-851d-e053-ca3ca8c0ca7f",103,0,7,0,19,30,9,17,2
"4c07d11d-f785-851d-e053-ca3ca8c0ca7f",72,1,15,1,4,14,0,11,42
"4c07d11e-0211-851d-e053-ca3ca8c0ca7f",88,0,3,0,15,36,11,13,3
"4c07d11e-0210-851d-e053-ca3ca8c0ca7f",57,0,1,0,6,18,1,9,1
"4c07d11e-0398-851d-e053-ca3ca8c0ca7f",67,0,1,0,3,34,16,28,0
"4c07d11e-0658-851d-e053-ca3ca8c0ca7f",72,2,4,0,4,21,7,13,1
"4c07d11e-0397-851d-e053-ca3ca8c0ca7f",70,1,7,0,6,26,9,11,0
"4c07d11e-0656-851d-e053-ca3ca8c0ca7f",52,2,7,0,5,12,4,10,0
"4c07d11e-0399-851d-e053-ca3ca8c0ca7f",57,0,1,0,11,18,9,15,0
"4c07d11e-0659-851d-e053-ca3ca8c0ca7f",47,1,5,0,3,14,2,4,12
"4c07d11d-fbfa-851d-e053-ca3ca8c0ca7f",82,2,11,0,5,21,8,21,40
"4c07d11d-f43f-851d-e053-ca3ca8c0ca7f",60,4,7,1,3,15,3,19,34
"4c07d11d-fbfd-851d-e053-ca3ca8c0ca7f",71,1,6,0,6,18,1,17,39
"4c07d11d-f7e6-851d-e053-ca3ca8c0ca7f",120,0,13,0,10,29,5,31,9
"4c07d11d-feae-851d-e053-ca3ca8c0ca7f",87,2,8,0,5,15,1,14,6
"4c07d11d-feb6-851d-e053-ca3ca8c0ca7f",78,1,11,1,8,17,4,14,18
"4c07d11d-ff27-851d-e053-ca3ca8c0ca7f",68,1,8,1,3,18,2,11,6
"4c07d11d-ff26-851d-e053-ca3ca8c0ca7f",85,1,8,0,7,8,3,11,7
"4c07d11e-077b-851d-e053-ca3ca8c0ca7f",98,1,7,0,10,21,4,24,6
"4c07d11d-ff28-851d-e053-ca3ca8c0ca7f",79,0,3,0,6,19,4,14,13
"4c07d11d-ff29-851d-e053-ca3ca8c0ca7f",85,0,10,0,12,14,3,18,33
"4c07d11e-077d-851d-e053-ca3ca8c0ca7f",75,0,6,0,11,15,2,14,16
"4c07d11e-077c-851d-e053-ca3ca8c0ca7f",128,2,3,1,18,22,2,16,4
"4c07d11d-fc62-851d-e053-ca3ca8c0ca7f",101,0,6,0,14,23,7,19,2
"4c07d11d-f443-851d-e053-ca3ca8c0ca7f",83,2,13,2,5,22,6,19,9
"4c07d11d-f480-851d-e053-ca3ca8c0ca7f",78,1,20,0,3,25,10,28,18
"4c07d11d-fc64-851d-e053-ca3ca8c0ca7f",99,1,17,2,9,29,7,32,18
"4c07d11d-f834-851d-e053-ca3ca8c0ca7f",87,5,24,0,10,17,5,26,10
"4c07d11d-f4c0-851d-e053-ca3ca8c0ca7f",107,4,21,1,8,37,5,34,23
"4c07d11d-fe9a-851d-e053-ca3ca8c0ca7f",51,1,11,1,7,20,5,20,7
"4c07d11d-fe9b-851d-e053-ca3ca8c0ca7f",86,1,16,1,4,16,5,24,27
"4c07d11d-f7dc-851d-e053-ca3ca8c0ca7f",105,2,18,1,11,23,6,29,7
"4c07d11d-f47c-851d-e053-ca3ca8c0ca7f",57,0,17,1,3,20,6,22,49
"4c07d11d-f78a-851d-e053-ca3ca8c0ca7f",61,1,19,0,3,8,3,13,36
"4c07d11e-065a-851d-e053-ca3ca8c0ca7f",91,2,15,0,4,38,8,28,13
"4c07d11d-f783-851d-e053-ca3ca8c0ca7f",51,3,13,0,0,15,6,18,21
"4c07d11d-f7e1-851d-e053-ca3ca8c0ca7f",106,1,19,3,10,27,6,32,55
"4c07d11d-fe35-851d-e053-ca3ca8c0ca7f",66,1,3,0,7,6,1,8,1
"4c07d11d-f7d8-851d-e053-ca3ca8c0ca7f",74,0,16,0,6,19,6,27,16
"4c07d11d-feab-851d-e053-ca3ca8c0ca7f",76,1,17,0,7,19,5,16,7
"4c07d11d-feaa-851d-e053-ca3ca8c0ca7f",72,0,15,0,6,18,6,22,1
"4c07d11d-f442-851d-e053-ca3ca8c0ca7f",77,1,15,0,7,20,8,30,6
"4c07d11d-fc03-851d-e053-ca3ca8c0ca7f",57,0,5,1,3,18,2,19,2
"4c07d11e-077a-851d-e053-ca3ca8c0ca7f",111,1,14,0,10,17,3,14,3
"4c07d11d-f78b-851d-e053-ca3ca8c0ca7f",90,1,3,1,5,17,4,6,1
"4c07d11e-0221-851d-e053-ca3ca8c0ca7f",84,3,1,0,5,13,4,5,1
"4c07d11e-023b-851d-e053-ca3ca8c0ca7f",34,0,5,0,1,9,5,6,0
"4c07d11e-06a8-851d-e053-ca3ca8c0ca7f",73,0,5,4,3,17,4,12,0
"4c07d11e-0777-851d-e053-ca3ca8c0ca7f",99,0,6,0,7,23,3,17,0
"4c07d11e-023a-851d-e053-ca3ca8c0ca7f",55,2,1,0,7,11,1,9,2
"4c07d11e-0222-851d-e053-ca3ca8c0ca7f",108,0,2,0,7,16,5,6,0
"4c07d11e-0239-851d-e053-ca3ca8c0ca7f",165,1,2,0,34,26,21,10,0
"4c07d11d-fe22-851d-e053-ca3ca8c0ca7f",92,2,6,9,13,11,2,12,4
"4c07d11d-ff25-851d-e053-ca3ca8c0ca7f",76,3,6,0,3,14,2,15,4
"4c07d11d-ff24-851d-e053-ca3ca8c0ca7f",70,1,9,0,3,21,3,22,5
"4c07d11d-fe26-851d-e053-ca3ca8c0ca7f",83,1,5,0,5,15,3,22,13
"4c07d11e-06aa-851d-e053-ca3ca8c0ca7f",110,2,9,0,11,21,5,17,3
"4c07d11d-fe24-851d-e053-ca3ca8c0ca7f",91,2,8,0,8,13,5,19,0
"4c07d11d-fe25-851d-e053-ca3ca8c0ca7f",103,0,5,0,5,23,5,24,1
"4c07d11e-06a9-851d-e053-ca3ca8c0ca7f",79,0,3,0,3,12,4,10,0
"4c07d11d-ff23-851d-e053-ca3ca8c0ca7f",72,1,3,0,7,10,8,11,8
"4c07d11d-fe27-851d-e053-ca3ca8c0ca7f",125,0,13,2,16,19,4,21,27
"4c07d11e-1f27-851d-e053-ca3ca8c0ca7f",75,2,3,0,17,11,11,24,0
"4c07d11e-2c84-851d-e053-ca3ca8c0ca7f",99,2,1,0,20,25,17,31,1
"4c07d11e-0291-851d-e053-ca3ca8c0ca7f",136,1,0,0,38,25,25,34,2
"4c07d11e-1f25-851d-e053-ca3ca8c0ca7f",122,1,2,0,22,35,26,35,0
"4c07d11e-2c79-851d-e053-ca3ca8c0ca7f",64,0,2,0,8,17,12,19,0
"4c07d11e-3971-851d-e053-ca3ca8c0ca7f",97,1,3,0,15,35,53,32,2
"4c07d11e-1f03-851d-e053-ca3ca8c0ca7f",102,1,1,0,36,22,21,22,0
"4c07d11e-1ee9-851d-e053-ca3ca8c0ca7f",111,2,0,0,10,31,20,8,1
"4c07d11e-1eea-851d-e053-ca3ca8c0ca7f",74,1,0,0,5,16,8,8,1
"4c07d11e-1ef7-851d-e053-ca3ca8c0ca7f",91,1,6,0,8,26,17,23,0
"4c07d11e-2c5b-851d-e053-ca3ca8c0ca7f",56,1,19,0,7,23,29,16,0
"4c07d11e-2c59-851d-e053-ca3ca8c0ca7f",79,2,7,0,12,31,32,21,0
"4c07d11e-06a6-851d-e053-ca3ca8c0ca7f",77,0,14,0,8,21,15,11,0
"4c07d11e-0238-851d-e053-ca3ca8c0ca7f",85,0,8,0,7,42,18,30,0
"4c07d11e-2c5c-851d-e053-ca3ca8c0ca7f",84,3,6,0,6,35,44,25,0
"4c07d11e-0220-851d-e053-ca3ca8c0ca7f",101,3,1,0,3,57,44,42,0
"4c07d11e-2c6a-851d-e053-ca3ca8c0ca7f",79,5,30,0,8,28,24,29,0
"4c07d11e-1f02-851d-e053-ca3ca8c0ca7f",106,2,21,0,18,36,41,42,0
"4c07d11e-2c69-851d-e053-ca3ca8c0ca7f",86,0,35,0,5,39,30,28,0
"4c07d11e-1ef9-851d-e053-ca3ca8c0ca7f",97,1,11,0,13,31,15,29,0
"4c07d11e-024f-851d-e053-ca3ca8c0ca7f",42,1,11,0,4,21,9,10,0
"4c07d11e-1ef8-851d-e053-ca3ca8c0ca7f",53,2,16,0,3,27,22,19,0
"4c07d11e-2c5a-851d-e053-ca3ca8c0ca7f",47,1,16,0,5,18,18,14,1
"4c07d11e-1f04-851d-e053-ca3ca8c0ca7f",63,1,4,0,4,19,4,11,0
"4c07d11e-1f0c-851d-e053-ca3ca8c0ca7f",72,3,2,0,5,22,14,12,0
"4c07d11e-3972-851d-e053-ca3ca8c0ca7f",54,2,34,0,5,21,18,20,0
"4c07d11e-2c68-851d-e053-ca3ca8c0ca7f",64,1,2,0,3,21,20,13,0
"4c07d11e-1f0d-851d-e053-ca3ca8c0ca7f",58,0,0,0,4,12,5,10,0
"4c07d11e-1f18-851d-e053-ca3ca8c0ca7f",83,1,18,0,5,13,19,13,0
"4c07d11e-0290-851d-e053-ca3ca8c0ca7f",85,1,20,0,9,20,14,19,0
"4c07d11e-1ee8-851d-e053-ca3ca8c0ca7f",94,0,1,0,6,14,6,10,0
"4c07d11e-024d-851d-e053-ca3ca8c0ca7f",121,3,1,0,16,26,13,24,0
"4c07d11e-028f-851d-e053-ca3ca8c0ca7f",90,0,2,0,8,26,9,20,0
"4c07d11e-2c77-851d-e053-ca3ca8c0ca7f",92,0,1,0,5,21,15,10,1
"4c07d11e-1f26-851d-e053-ca3ca8c0ca7f",66,0,0,0,6,18,5,10,0
"4c07d11e-028e-851d-e053-ca3ca8c0ca7f",79,0,2,1,7,16,1,9,0
"4c07d11e-1f0e-851d-e053-ca3ca8c0ca7f",84,2,19,0,5,19,7,12,0
"4c07d11e-0272-851d-e053-ca3ca8c0ca7f",116,1,2,0,14,19,6,13,0
"4c07d11e-2c76-851d-e053-ca3ca8c0ca7f",75,3,0,0,4,14,9,9,1
"4c07d11e-2c75-851d-e053-ca3ca8c0ca7f",70,0,0,0,7,12,11,14,1
"4c07d11e-2c78-851d-e053-ca3ca8c0ca7f",85,3,1,0,10,20,21,38,0
"4c07d11e-1f19-851d-e053-ca3ca8c0ca7f",67,0,1,0,9,18,14,22,0
"4c07d11e-1f1a-851d-e053-ca3ca8c0ca7f",62,1,0,0,5,9,7,9,0
"4c07d11e-0273-851d-e053-ca3ca8c0ca7f",84,1,0,0,12,22,14,20,0
"4c07d11e-2c6b-851d-e053-ca3ca8c0ca7f",98,0,0,0,10,25,9,23,0
"4c07d11e-0271-851d-e053-ca3ca8c0ca7f",56,0,0,0,5,13,8,7,1
"4c07d11e-024e-851d-e053-ca3ca8c0ca7f",86,1,2,0,4,27,6,17,0
"4c07d11d-f7ec-851d-e053-ca3ca8c0ca7f",72,0,15,1,6,17,5,17,30
"4c07d11d-ff2f-851d-e053-ca3ca8c0ca7f",95,2,17,0,7,25,10,25,6
"4c07d11d-ff8e-851d-e053-ca3ca8c0ca7f",73,1,12,0,8,14,0,16,5
"4c07d11d-f7ee-851d-e053-ca3ca8c0ca7f",74,0,14,2,8,20,7,24,11
"4c07d11e-05c8-851d-e053-ca3ca8c0ca7f",63,1,8,0,7,26,5,17,2
"4c07d11e-20ba-851d-e053-ca3ca8c0ca7f",46,4,18,0,7,22,13,15,0
"4c07d11e-16e6-851d-e053-ca3ca8c0ca7f",69,2,2,0,7,29,15,18,0
"4c07d11e-065c-851d-e053-ca3ca8c0ca7f",63,1,5,0,7,16,2,11,1
"4c07d11e-20bb-851d-e053-ca3ca8c0ca7f",51,2,9,0,3,19,8,12,0
"4c07d11d-f904-851d-e053-ca3ca8c0ca7f",81,3,21,0,9,32,12,25,0
"4c07d11d-fce1-851d-e053-ca3ca8c0ca7f",65,1,15,0,7,20,6,19,3
"4c07d11d-f905-851d-e053-ca3ca8c0ca7f",64,3,11,0,5,22,13,17,0
"4c07d11d-f920-851d-e053-ca3ca8c0ca7f",91,0,4,0,21,26,20,27,0
"4c07d11d-f906-851d-e053-ca3ca8c0ca7f",68,0,15,0,5,38,19,29,1
"4c07d11e-065d-851d-e053-ca3ca8c0ca7f",64,2,13,0,0,18,6,19,4
"4c07d11e-065b-851d-e053-ca3ca8c0ca7f",88,4,3,0,27,26,17,20,0
"4c07d11d-f775-851d-e053-ca3ca8c0ca7f",64,0,14,0,5,20,4,31,49
"4c07d11d-fdbc-851d-e053-ca3ca8c0ca7f",47,2,8,0,6,13,4,20,40
"4c07d11d-fe31-851d-e053-ca3ca8c0ca7f",84,1,15,1,3,19,5,27,3
"4c07d11d-fe30-851d-e053-ca3ca8c0ca7f",110,2,10,1,11,27,10,37,2
"4c07d11e-1f28-851d-e053-ca3ca8c0ca7f",58,0,0,0,6,12,2,5,0
"4c07d11e-02b0-851d-e053-ca3ca8c0ca7f",79,3,4,0,7,29,11,15,0
"4c07d11e-1f36-851d-e053-ca3ca8c0ca7f",59,0,16,0,6,27,12,14,0
"4c07d11e-1f41-851d-e053-ca3ca8c0ca7f",53,3,17,0,3,26,15,12,0
"4c07d11e-06e2-851d-e053-ca3ca8c0ca7f",84,1,11,0,6,17,7,23,2
"4c07d11d-fe37-851d-e053-ca3ca8c0ca7f",111,1,9,0,10,19,5,24,2
"4c07d11e-0292-851d-e053-ca3ca8c0ca7f",104,2,5,0,15,37,25,35,0
"4c07d11d-fe38-851d-e053-ca3ca8c0ca7f",74,2,24,0,7,33,16,29,1
"4c07d11e-06e3-851d-e053-ca3ca8c0ca7f",78,2,2,0,30,12,13,19,0
"4c07d11e-02b1-851d-e053-ca3ca8c0ca7f",100,0,3,0,16,14,5,10,1
"4c07d11d-fe39-851d-e053-ca3ca8c0ca7f",103,0,12,0,10,21,8,17,3
"4c07d11e-06e0-851d-e053-ca3ca8c0ca7f",73,0,3,0,4,16,2,10,1
"4c07d11d-fe36-851d-e053-ca3ca8c0ca7f",139,0,17,1,11,29,15,46,3
"4c07d11e-2c85-851d-e053-ca3ca8c0ca7f",67,4,7,0,6,33,19,31,0
"4c07d11e-1f35-851d-e053-ca3ca8c0ca7f",51,2,6,0,6,25,22,19,1
"4c07d11e-06e1-851d-e053-ca3ca8c0ca7f",96,1,6,0,15,20,9,8,1
"4c07d11e-1f34-851d-e053-ca3ca8c0ca7f",100,3,2,0,21,26,19,25,0
"4c07d11d-fe34-851d-e053-ca3ca8c0ca7f",73,3,4,0,6,13,5,21,3
"4c07d11d-f446-851d-e053-ca3ca8c0ca7f",96,2,17,0,12,21,9,17,31
"4c07d11d-f444-851d-e053-ca3ca8c0ca7f",87,2,21,0,8,26,6,25,51
"4c07d11e-09c3-851d-e053-ca3ca8c0ca7f",40,6,10,0,4,13,6,14,2
"4c07d11e-09c5-851d-e053-ca3ca8c0ca7f",62,1,14,0,10,19,6,24,9
"4c07d11d-f62c-851d-e053-ca3ca8c0ca7f",64,1,15,1,7,21,6,25,18
"4c07d11e-09c4-851d-e053-ca3ca8c0ca7f",39,0,4,2,2,13,6,17,6
"4c07d11d-fcde-851d-e053-ca3ca8c0ca7f",101,2,25,1,11,24,13,41,5
"4c07d11d-fcd9-851d-e053-ca3ca8c0ca7f",68,0,4,0,5,14,1,10,4
"4c07d11d-f486-851d-e053-ca3ca8c0ca7f",101,1,10,1,7,22,4,26,7
"4c07d11d-f4c2-851d-e053-ca3ca8c0ca7f",112,1,21,0,8,29,9,32,59
"4c07d11d-f82e-851d-e053-ca3ca8c0ca7f",79,2,12,0,3,8,1,19,14
"4c07d11d-ff1a-851d-e053-ca3ca8c0ca7f",63,2,16,0,7,18,2,20,18
"4c07d11d-ff1f-851d-e053-ca3ca8c0ca7f",68,1,17,0,9,19,4,21,12
"4c07d11d-ff1d-851d-e053-ca3ca8c0ca7f",75,3,10,1,6,13,3,21,10
"4c07d11e-0779-851d-e053-ca3ca8c0ca7f",71,3,10,0,11,18,11,18,0
"4c07d11d-f62e-851d-e053-ca3ca8c0ca7f",68,2,11,0,8,25,3,23,21
"4c07d11d-f62f-851d-e053-ca3ca8c0ca7f",56,1,17,0,3,19,4,17,12
"4c07d11d-fb6b-851d-e053-ca3ca8c0ca7f",60,3,13,0,8,26,11,27,7
"4c07d11d-f838-851d-e053-ca3ca8c0ca7f",94,2,17,3,7,30,5,29,38
"4c07d11d-ff1c-851d-e053-ca3ca8c0ca7f",118,1,21,0,9,32,13,38,51
"4c07d11e-0778-851d-e053-ca3ca8c0ca7f",108,1,17,0,18,34,7,27,2
"4c07d11d-fc6d-851d-e053-ca3ca8c0ca7f",69,1,18,2,8,23,6,24,7
"4c07d11d-fc61-851d-e053-ca3ca8c0ca7f",92,1,10,0,12,22,10,37,3
"4c07d11d-f7d1-851d-e053-ca3ca8c0ca7f",60,1,23,0,3,25,3,22,24
"4c07d11d-f790-851d-e053-ca3ca8c0ca7f",75,2,22,0,4,23,6,22,29
"4c07d11d-f7e2-851d-e053-ca3ca8c0ca7f",69,0,12,1,5,19,3,11,16
"4c07d11e-06e5-851d-e053-ca3ca8c0ca7f",54,1,5,0,3,21,5,9,11
"4c07d11d-f83a-851d-e053-ca3ca8c0ca7f",77,1,19,1,7,20,2,26,40
"4c07d11e-0007-851d-e053-ca3ca8c0ca7f",103,1,25,1,11,29,11,31,44
"4c07d11d-f83b-851d-e053-ca3ca8c0ca7f",89,3,22,1,8,21,12,30,46
"4c07d11d-f7eb-851d-e053-ca3ca8c0ca7f",109,2,13,0,8,22,4,29,23
"4c07d11d-f7da-851d-e053-ca3ca8c0ca7f",39,2,8,0,3,10,1,13,16
"4c07d11d-f7db-851d-e053-ca3ca8c0ca7f",63,2,14,0,8,13,5,15,18
"4c07d11e-0005-851d-e053-ca3ca8c0ca7f",76,0,9,0,7,17,2,16,16
"4c07d11d-f839-851d-e053-ca3ca8c0ca7f",79,1,14,1,10,19,5,26,51
"4c07d11d-feaf-851d-e053-ca3ca8c0ca7f",95,2,12,0,12,23,0,17,5
"4c07d11d-feb0-851d-e053-ca3ca8c0ca7f",91,1,9,0,7,17,3,13,3
"4c07d11d-feb2-851d-e053-ca3ca8c0ca7f",61,0,8,0,5,10,1,12,3
"4c07d11d-f48e-851d-e053-ca3ca8c0ca7f",101,1,17,0,11,21,5,26,36
"4c07d11d-fd4b-851d-e053-ca3ca8c0ca7f",92,2,17,0,11,19,6,25,22
"4c07d11d-f777-851d-e053-ca3ca8c0ca7f",32,1,7,0,6,5,0,15,27
"4c07d11d-f490-851d-e053-ca3ca8c0ca7f",88,1,20,0,6,20,7,30,13
"4c07d11e-065e-851d-e053-ca3ca8c0ca7f",83,4,26,0,7,26,14,32,2
"4c07d11d-f48d-851d-e053-ca3ca8c0ca7f",63,0,11,0,5,17,3,20,17
"4c07d11d-f48b-851d-e053-ca3ca8c0ca7f",71,1,16,0,5,15,4,24,29
"4c07d11d-fce9-851d-e053-ca3ca8c0ca7f",60,0,6,1,7,14,5,18,22
"4c07d11d-fcd8-851d-e053-ca3ca8c0ca7f",70,1,14,0,6,26,4,24,9
"4c07d11e-05cc-851d-e053-ca3ca8c0ca7f",100,1,14,0,10,19,11,27,3
"4c07d11e-0612-851d-e053-ca3ca8c0ca7f",94,1,13,1,11,23,7,25,11
"4c07d11e-16e5-851d-e053-ca3ca8c0ca7f",69,0,3,0,11,14,4,11,0
"4c07d11d-fcdc-851d-e053-ca3ca8c0ca7f",96,1,7,0,13,19,4,14,6
"4c07d11d-fcdb-851d-e053-ca3ca8c0ca7f",91,1,13,0,11,25,6,23,6
"4c07d11d-fcdd-851d-e053-ca3ca8c0ca7f",86,0,6,0,4,19,6,16,2
"4c07d11e-2f35-851d-e053-ca3ca8c0ca7f",57,1,38,0,10,27,27,26,0
"4c07d11e-20a4-851d-e053-ca3ca8c0ca7f",67,1,33,0,8,35,17,24,0
"4c07d11e-20ad-851d-e053-ca3ca8c0ca7f",54,3,24,0,10,28,17,16,0
"4c07d11e-16d5-851d-e053-ca3ca8c0ca7f",129,3,3,0,19,35,10,16,0
"4c07d11e-16d4-851d-e053-ca3ca8c0ca7f",122,1,0,1,20,37,25,28,0
"4c07d11e-20ae-851d-e053-ca3ca8c0ca7f",113,0,1,0,36,42,41,27,0
"4c07d11e-0610-851d-e053-ca3ca8c0ca7f",112,0,5,0,12,19,5,9,0
"4c07d11e-1774-851d-e053-ca3ca8c0ca7f",81,0,2,0,11,29,18,22,0
"4c07d11e-20a3-851d-e053-ca3ca8c0ca7f",55,1,36,0,3,31,18,20,0
"4c07d11e-2f33-851d-e053-ca3ca8c0ca7f",100,1,28,0,16,56,58,58,1
"4c07d11e-0611-851d-e053-ca3ca8c0ca7f",110,3,4,2,24,32,34,42,0
"4c07d11e-20a5-851d-e053-ca3ca8c0ca7f",68,1,8,0,4,42,20,22,0
"4c07d11e-2f34-851d-e053-ca3ca8c0ca7f",57,3,42,0,8,31,20,26,0
"4c07d11e-2f43-851d-e053-ca3ca8c0ca7f",51,1,26,1,6,33,30,20,0
"4c07d11e-16d3-851d-e053-ca3ca8c0ca7f",120,1,3,0,55,31,33,28,0
"4c07d11e-16d6-851d-e053-ca3ca8c0ca7f",130,3,1,0,18,48,42,47,0
"4c07d11e-2f44-851d-e053-ca3ca8c0ca7f",63,1,3,0,10,16,6,13,0
"4c07d11e-20b0-851d-e053-ca3ca8c0ca7f",70,0,0,0,22,13,3,9,0
"4c07d11e-05cb-851d-e053-ca3ca8c0ca7f",65,3,8,0,6,24,9,18,1
"4c07d11e-20a2-851d-e053-ca3ca8c0ca7f",68,0,2,0,14,20,6,9,0
"4c07d11e-1775-851d-e053-ca3ca8c0ca7f",76,0,0,0,11,21,2,10,0
"4c07d11e-20af-851d-e053-ca3ca8c0ca7f",72,0,1,0,2,22,11,15,0
"4c07d11d-fc66-851d-e053-ca3ca8c0ca7f",108,2,9,1,34,36,17,29,2
"4c07d11d-fc65-851d-e053-ca3ca8c0ca7f",78,2,11,0,6,16,8,23,10
"4c07d11e-2090-851d-e053-ca3ca8c0ca7f",65,0,3,0,11,15,1,5,0
"4c07d11e-1766-851d-e053-ca3ca8c0ca7f",52,1,4,0,4,16,6,11,0
"4c07d11e-05c6-851d-e053-ca3ca8c0ca7f",27,1,2,1,7,9,4,11,2
"4c07d11e-058a-851d-e053-ca3ca8c0ca7f",61,0,0,0,8,11,2,11,0
"4c07d11d-f478-851d-e053-ca3ca8c0ca7f",58,0,17,0,5,18,6,21,55
"4c07d11d-f772-851d-e053-ca3ca8c0ca7f",64,0,11,0,5,19,7,21,58
"4c07d11e-05c5-851d-e053-ca3ca8c0ca7f",58,3,26,0,2,26,9,13,0
"4c07d11e-09c2-851d-e053-ca3ca8c0ca7f",35,3,8,0,7,10,6,11,7
"4c07d11d-f62b-851d-e053-ca3ca8c0ca7f",65,2,14,1,1,21,3,19,20
"4c07d11d-f77b-851d-e053-ca3ca8c0ca7f",94,2,10,0,15,23,7,34,27
"4c07d11d-f8ee-851d-e053-ca3ca8c0ca7f",99,1,22,2,8,24,3,35,65
"4c07d11d-f8f0-851d-e053-ca3ca8c0ca7f",67,1,11,1,5,11,5,22,56
"4c07d11e-1e92-851d-e053-ca3ca8c0ca7f",57,2,3,0,3,22,8,16,1
"4c07d11e-1e91-851d-e053-ca3ca8c0ca7f",55,1,9,0,6,11,5,12,1
"4c07d11e-1e90-851d-e053-ca3ca8c0ca7f",53,4,2,0,14,23,16,20,0
"4c07d11e-0775-851d-e053-ca3ca8c0ca7f",86,0,8,0,14,9,1,14,6
"4c07d11d-fe3a-851d-e053-ca3ca8c0ca7f",106,1,18,0,9,28,10,34,3
"4c07d11d-ff19-851d-e053-ca3ca8c0ca7f",64,1,10,0,1,18,3,10,3
"4c07d11e-02bc-851d-e053-ca3ca8c0ca7f",79,1,1,0,10,14,3,11,1
"4c07d11e-02da-851d-e053-ca3ca8c0ca7f",77,0,0,0,10,16,1,9,0
"4c07d11d-ff18-851d-e053-ca3ca8c0ca7f",58,0,10,0,5,16,2,13,11
"4c07d11d-feb7-851d-e053-ca3ca8c0ca7f",76,0,15,0,7,19,2,14,2
"4c07d11d-feb8-851d-e053-ca3ca8c0ca7f",71,1,8,0,13,22,8,21,2
"4c07d11d-f78e-851d-e053-ca3ca8c0ca7f",83,0,22,0,6,23,8,29,18
"4c07d11d-f7d2-851d-e053-ca3ca8c0ca7f",62,2,9,0,4,15,0,23,10
"4c07d11d-ff21-851d-e053-ca3ca8c0ca7f",75,1,6,0,10,20,5,22,4
"4c07d11e-02db-851d-e053-ca3ca8c0ca7f",73,1,2,0,13,16,2,11,0
"4c07d11e-02f1-851d-e053-ca3ca8c0ca7f",79,5,5,0,10,29,3,18,0
"4c07d11d-ff20-851d-e053-ca3ca8c0ca7f",98,1,7,0,3,26,5,16,8
"4c07d11d-f7ea-851d-e053-ca3ca8c0ca7f",61,2,13,0,6,15,2,16,11
"4c07d11d-ff1e-851d-e053-ca3ca8c0ca7f",95,1,14,0,9,25,3,22,12
"4c07d11d-ff2e-851d-e053-ca3ca8c0ca7f",95,0,7,0,6,19,2,22,17
"4c07d11d-f8fb-851d-e053-ca3ca8c0ca7f",65,1,21,1,6,22,3,20,44
